Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LatitudeRaiz,LongitudeRaiz,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,lat,lon
SSLN,SC0018,Helmuth Baungartem,LONTRAS,Santa Catarina,Lontras,Santa Catarina,"27°09'35.0S""","049°32'34.0W""",334,VFR,Sem Operação,07/25,1100,23,10/F/C/Y/U,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1081,https://pergamum.anac.gov.br/arquivos/PA2020-1081.pdf,-27.159722222,-49.542777778
SNSE,BA0056,Sento Sé,SENTO SÉ,Bahia,Sento Sé,Bahia,"09°45'27.0S""","041°51'18.0W""",398,VFR,,15/33,1100,25,10/F/B/Y/U,Cascalho,,,,,,Cadastrado,28/07/2024,PA2014-1707,https://pergamum.anac.gov.br/arquivos/PA2014-1707.pdf,-9.7575,-41.855
SNJR,MG0034,Prefeito Octávio de Almeida Neves,SÃO JOÃO DEL REI,Minas Gerais,São João Del Rei,Minas Gerais,"21°05'08.0S""","044°13'31.0W""",945,VFR,VFR,08/26,1400,30,16/F/B/Y/T,Asfalto,,,,,,Cadastrado,22/05/2025,PA2015-1205,https://pergamum.anac.gov.br/arquivos/PA2015-1205.pdf,-21.085555556,-44.225277778
SNMJ,BA0031,Maracás,MARACÁS,Bahia,Maracás,Bahia,"13°23'10.0S""","040°27'58.0W""",962,VFR,,07/25,1300,20,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,16/06/2024,PA2014-1386,https://pergamum.anac.gov.br/arquivos/PA2014-1386.pdf,-13.386111111,-40.466111111
SDCA,SP0051,Capão Bonito,CAPÃO BONITO,São Paulo,Capão Bonito,São Paulo,"24°02'01.0S""","048°21'25.0W""",714,VFR,Sem Operação,16/34,1075,20,10/F/C/Y/U,Asfalto,,,,,,Interditado,07/11/2027,PA2018-2893,https://pergamum.anac.gov.br/arquivos/PA2018-2893.pdf,-24.033611111,-48.356944444
SBBR,DF0001,Presidente Juscelino Kubitschek,BRASÍLIA,Distrito Federal,Brasília,Distrito Federal,"15°52'16.0S""","047°55'07.0W""",1066,VFR / IFR - CAT I,VFR / IFR - CAT I,11R/29L,3300,45,68/F/B/W/T,Asfalto,11L/29R,3200,45,76/F/B/X/T,Asfalto,Cadastrado,13/11/2022,PA2012-2422,https://pergamum.anac.gov.br/arquivos/PA2012-2422.pdf,-15.871111111,-47.918611111
SWTS,MT0012,Tangará da Serra,TANGARÁ DA SERRA,Mato Grosso,Tangará da Serra,Mato Grosso,"14°39'43.0S""","057°26'38.0W""",449,VFR,Sem Operação,18/36,1500,30,12/F/B/X/T,Asfalto,,,,,,Cadastrado,23/08/2028,PA2018-2573,https://pergamum.anac.gov.br/arquivos/PA2018-2573.pdf,-14.661944444,-57.443888889
SBPJ,TO0001,Palmas / Brigadeiro Lysias Rodrigues,PALMAS,Tocantins,Palmas,Tocantins,"10°17'24.0S""","048°21'28.0W""",236,VFR / IFR Não Precisão,VFR / IFR Não Precisão,14/32,2500,45,48/F/B/X/T,Asfalto,,,,,,Cadastrado,17/02/2031,PA2021-4223,https://pergamum.anac.gov.br/arquivos/PA2021-4223.pdf,-10.29,-48.357777778
SWPL,MT0027,Posto Leonardo Vilas Boas,GAÚCHA DO NORTE,Mato Grosso,Gaúcha do Norte,Mato Grosso,"12°11'54.0S""","053°22'54.0W""",330,VFR,Sem Operação,07/25,1000,20,8/F/C/Y/U,Grama,,,,,,Interditado,,,,-12.198333333,-53.381666667
SWYN,AM0023,Apuí,APUÍ,Amazonas,Apuí,Amazonas,"07°10'20.0S""","059°50'20.0W""",60,VFR,,08/26,1200,23,12/F/B/Y/U,Asfalto,,,,,,Cadastrado,21/07/2030,PA2020-1745,https://pergamum.anac.gov.br/arquivos/PA2020-1745.pdf,-7.172222222,-59.838888889
SNSG,PE0008,Salgueiro,SALGUEIRO,Pernambuco,Salgueiro,Pernambuco,"08°02'48.0S""","039°08'02.0W""",469,VFR,Sem Operação,17/35,1300,30,6/F/B/Y/U,Asfalto,,,,,,Interditado,07/05/2028,PA2018-1374,https://pergamum.anac.gov.br/arquivos/PA2018-1374.pdf,-8.046666667,-39.133888889
SSGY,PR0023,Guaíra,GUAÍRA,Paraná,Guaíra,Paraná,"24°04'47.0S""","054°11'17.0W""",271,VFR,,07/25,1300,30,13/F/C/Y/U,Asfalto,,,,,,Cadastrado,12/08/2024,PA2014-1876,https://pergamum.anac.gov.br/arquivos/PA2014-1876.pdf,-24.079722222,-54.188055556
SNVS,PA0015,Breves,BREVES,Pará,Breves,Pará,"01°38'11.0S""","050°26'36.0W""",30,VFR,,07/25,1600,30,27/F/B/X/T,Asfalto,,,,,,Cadastrado,28/03/2026,PA2016-0724,https://pergamum.anac.gov.br/arquivos/PA2016-0724.pdf,-1.636388889,-50.443333333
SSSC,RS0029,Santa Cruz do Sul,SANTA CRUZ DO SUL,Rio Grande do Sul,Santa Cruz do Sul,Rio Grande do Sul,"29°41'03.0S""","052°24'44.0W""",199,VFR,Sem Operação,08/26,1180,18,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,17/04/2030,PA2020-1024,https://pergamum.anac.gov.br/arquivos/PA2020-1024.pdf,-29.684166667,-52.412222222
SWRO,RO0002,Aeroclube de Rondônia,PORTO VELHO,Rondônia,Porto Velho,Rondônia,"08°47'37.0S""","063°51'29.0W""",113,VFR,Sem Operação,01/19,1300,30,8/F/C/Y/U,Terra,,,,,,Cadastrado,,,,-8.793611111,-63.858055556
SNPC,PI0009,Picos,PICOS,Piauí,Picos,Piauí,"07°03'55.0S""","041°31'10.0W""",320,VFR,Sem Operação,14/32,1200,24,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,14/09/2028,PA2018-2847,https://pergamum.anac.gov.br/arquivos/PA2018-2847.pdf,-7.065277778,-41.519444444
SBDN,SP0005,Presidente Prudente,PRESIDENTE PRUDENTE,São Paulo,Presidente Prudente,São Paulo,"22°10'42.0S""","051°25'08.0W""",452,VFR / IFR Não Precisão,VFR / IFR Não Precisão,12/30,2100,35,38/F/A/X/T,Asfalto,,,,,,Cadastrado,09/05/2026,PA2016-1108,https://pergamum.anac.gov.br/arquivos/PA2016-1108.pdf,-22.178333333,-51.418888889
SBTK,AC0004,Tarauacá,TARAUACÁ,Acre,Tarauacá,Acre,"08°09'17.0S""","070°46'58.0W""",197,VFR,Sem Operação,14/32,1130,14,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,,PA2006-0657,https://pergamum.anac.gov.br/arquivos/PA2006-0657.pdf,-8.154722222,-70.782777778
SBCD,SC0006,Carlos Alberto da Costa Neves,CAÇADOR,Santa Catarina,Caçador,Santa Catarina,"26°47'23.0S""","050°56'23.0W""",1029,VFR / IFR Não Precisão,VFR / IFR Não Precisão,02/20,1625,30,25/F/A/X/T,Asfalto,,,,,,Cadastrado,,PA2013-3195,https://pergamum.anac.gov.br/arquivos/PA2013-3195.pdf,-26.789722222,-50.939722222
SNBI,MA0005,Bacabal,BACABAL,Maranhão,Bacabal,Maranhão,"04°13'41.0S""","044°49'11.0W""",20,VFR,,10/28,1600,30,25/F/A/X/T,Asfalto,,,,,,Cadastrado,27/02/2028,PA2018-0629,https://pergamum.anac.gov.br/arquivos/PA2018-0629.pdf,-4.228055556,-44.819722222
SSPM,MS0013,Porto Murtinho,PORTO MURTINHO,Mato Grosso do Sul,Porto Murtinho,Mato Grosso do Sul,"21°42'46.0S""","057°52'45.0W""",81,VFR,,18/36,1300,30,15/F/B/X/T,Asfalto,,,,,,Cadastrado,18/03/2025,PA2015-0655,https://pergamum.anac.gov.br/arquivos/PA2015-0655.pdf,-21.712777778,-57.879166667
SWPR,GO0029,Pires do Rio,PIRES DO RIO,Goiás,Pires do Rio,Goiás,"17°19'08.0S""","048°20'05.0W""",781,VFR,,10/28,1080,18,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,18/09/2024,PA2014-2214,https://pergamum.anac.gov.br/arquivos/PA2014-2214.pdf,-17.318888889,-48.334722222
SBPR,MG0005,Carlos Prates,BELO HORIZONTE,Minas Gerais,Belo Horizonte,Minas Gerais,"19°54'33.0S""","043°59'21.0W""",928,VFR,Sem Operação,09/27,868,18,10/F/C/Y/U,Asfalto,,,,,,Cadastrado,27/10/2024,PA2014-2499,https://pergamum.anac.gov.br/arquivos/PA2014-2499.pdf,-19.909166667,-43.989166667
SDKF,BA0027,Juazeiro,JUAZEIRO,Bahia,Curaçá,Bahia,"09°09'19.0S""","040°05'30.0W""",392,VFR,Sem Operação,18/36,1300,22,12/F/B/Y/U,Asfalto,,,,,,Cadastrado,17/12/2025,PA2015-3337,https://pergamum.anac.gov.br/arquivos/PA2015-3337.pdf,-9.155277778,-40.091666667
SNQV,MG0044,Curvelo,CURVELO,Minas Gerais,Curvelo,Minas Gerais,"18°44'58.0S""","044°27'29.0W""",672,VFR,Sem Operação,09/27,1200,23,5000 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,16/10/2018,PA2018-3127,https://pergamum.anac.gov.br/arquivos/PA2018-3127.pdf,-18.749444444,-44.458055556
SDMH,SP0059,Mirassol,MIRASSOL,São Paulo,Mirassol,São Paulo,"20°48'26.0S""","049°29'10.0W""",584,VFR,Sem Operação,06/24,1000,30,8/F/C/Y/U,Terra,,,,,,Interditado,,PA2014-3150,https://pergamum.anac.gov.br/arquivos/PA2014-3150.pdf,-20.807222222,-49.486111111
SBAU,SP0009,Estadual Dario Guarita,ARAÇATUBA,São Paulo,Araçatuba,São Paulo,"21°08'39.0S""","050°25'35.0W""",415,,,05/23,2120,35,26/F/A/X/T,Asfalto,,,,,,Cadastrado,,PD1983-0188,https://pergamum.anac.gov.br/arquivos/PD1983-0188.pdf,-21.144166667,-50.426388889
SDPV,SP0040,Presidente Venceslau,PRESIDENTE VENCESLAU,São Paulo,Presidente Venceslau,São Paulo,"21°53'36.0S""","051°53'04.0W""",445,VFR,Sem Operação,14/32,1200,30,5700 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,31/07/2030,PA2020-1924,https://pergamum.anac.gov.br/arquivos/PA2020-1924.pdf,-21.893333333,-51.884444444
SNPJ,MG0042,Patrocínio,PATROCÍNIO,Minas Gerais,Patrocínio,Minas Gerais,"18°54'33.0S""","046°58'58.0W""",985,VFR,,05/23,1200,30,14/F/B/Y/T,Asfalto,,,,,,Cadastrado,03/06/2029,PA2019-1662,https://pergamum.anac.gov.br/arquivos/PA2019-1662.pdf,-18.909166667,-46.982777778
SBIP,MG0007,Usiminas,SANTANA DO PARAÍSO,Minas Gerais,Santana do Paraíso,Minas Gerais,"19°28'14.0S""","042°29'17.0W""",239,VFR / IFR Não Precisão,,05/23,2005,45,33/F/B/X/T,Asfalto,,,,,,Cadastrado,,PD2001-1629,https://pergamum.anac.gov.br/arquivos/PD2001-1629.pdf,-19.470555556,-42.488055556
SSNH,RS0023,Novo Hamburgo,NOVO HAMBURGO,Rio Grande do Sul,Novo Hamburgo,Rio Grande do Sul,"29°41'57.0S""","051°04'55.0W""",15,VFR,Sem Operação,02/20,870,30,5700 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,25/06/2030,PA2020-1592,https://pergamum.anac.gov.br/arquivos/PA2020-1592.pdf,-29.699166667,-51.081944444
SJVO,GO0030,Aragarças,ARAGARÇAS,Goiás,Aragarças,Goiás,"15°53'57.0S""","052°14'43.0W""",323,VFR,Sem Operação,10/28,1010,30,14/F/B/X/U,Asfalto,,,,,,Cadastrado,,PD2005-1223,https://pergamum.anac.gov.br/arquivos/PD2005-1223.pdf,-15.899166667,-52.245277778
SSBV,MS0011,Bela Vista,BELA VISTA,Mato Grosso do Sul,Bela Vista,Mato Grosso do Sul,"22°04'56.0S""","056°32'18.0W""",235,VFR,Sem Operação,03/21,1300,23,10/F/B/Y/T,Terra,,,,,,Interditado,,PD1999-0028,https://pergamum.anac.gov.br/arquivos/PD1999-0028.pdf,-22.082222222,-56.538333333
SJBY,MA0007,João Silva,SANTA INÊS,Maranhão,Santa Inês,Maranhão,"03°39'14.0S""","045°20'42.0W""",25,VFR,Sem Operação,06/24,1500,30,10/F/C/Y/T,Asfalto,,,,,,Cadastrado,,PD2003-1668,https://pergamum.anac.gov.br/arquivos/PD2003-1668.pdf,-3.653888889,-45.345
SSSD,RS0017,Soledade,SOLEDADE,Rio Grande do Sul,Soledade,Rio Grande do Sul,"28°51'48.0S""","052°32'26.0W""",673,VFR,Sem Operação,17/35,1199,23,5700 Kg / 1.00 MPa,Grama,,,,,,Cadastrado,19/05/2030,PA2020-1287,https://pergamum.anac.gov.br/arquivos/PA2020-1287.pdf,-28.863333333,-52.540555556
SDTK,RJ0011,Parati,PARATY,Rio de Janeiro,Paraty,Rio de Janeiro,"23°13'28.0S""","044°43'13.0W""",3,VFR,Sem Operação,10/28,700,23,2500 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,,PD1998-0051,https://pergamum.anac.gov.br/arquivos/PD1998-0051.pdf,-23.224444444,-44.720277778
SBRF,PE0001,Guararapes - Gilberto Freyre Internacional,RECIFE,Pernambuco,Recife,Pernambuco,"08°07'35.0S""","034°55'22.0W""",10,VFR / IFR - CAT I,VFR / IFR - CAT I,18/36,3007,45,72/F/B/X/T,Asfalto,,,,,,Cadastrado,20/05/2023,PA2013-1297,https://pergamum.anac.gov.br/arquivos/PA2013-1297.pdf,-8.126388889,-34.922777778
SDRS,RJ0007,Resende,RESENDE,,Resende,Rio de Janeiro,"22°28'43.0S""","044°28'54.0W""",402,VFR,,08/26,1300,30,13/F/C/Y/U,Asfalto,,,,,,Cadastrado,09/04/2030,PA2020-0973,https://pergamum.anac.gov.br/arquivos/PA2020-0973.pdf,-22.478611111,-44.481666667
SWEI,AM0009,Eirunepé,EIRUNEPÉ,Amazonas,Eirunepé,Amazonas,"06°38'15.0S""","069°52'59.0W""",122,VFR,Sem Operação,16/34,2300,45,30/F/C/X/U,Asfalto,,,,,,Cadastrado,06/09/2029,PA2019-2711,https://pergamum.anac.gov.br/arquivos/PA2019-2711.pdf,-6.6375,-69.883055556
SSQP,BA0061,Monte Santo,MONTE SANTO,Bahia,Monte Santo,Bahia,"10°27'55.0S""","039°17'10.0W""",443,VFR,,17/35,1000,30,5700 Kg / 0.50 MPa,Piçarra,,,,,,Cadastrado,13/10/2025,PA2015-2706,https://pergamum.anac.gov.br/arquivos/PA2015-2706.pdf,-10.465277778,-39.286111111
SNKD,MG0070,Conceição do Mato Dentro,CONCEIÇÃO DO MATO DENTRO,Minas Gerais,Conceição do Mato Dentro,Minas Gerais,"19°01'13.0S""","043°26'02.0W""",669,VFR,Sem Operação,15/33,960,23,8/F/B/X/T,Asfalto,,,,,,Interditado,,PD1984-0091,https://pergamum.anac.gov.br/arquivos/PD1984-0091.pdf,-19.020277778,-43.433888889
SNOE,PI0008,Oeiras,OEIRAS,Piauí,Oeiras,Piauí,"07°01'08.0S""","042°10'02.0W""",250,VFR,Sem Operação,11/29,1200,40,8/F/C/Y/U,Terra,,,,,,Interditado,,,,-7.018888889,-42.167222222
SSLG,RS0021,São Luiz Gonzaga,SÃO LUIZ GONZAGA,Rio Grande do Sul,São Luiz Gonzaga,Rio Grande do Sul,"28°22'35.0S""","055°02'15.0W""",200,VFR,Sem Operação,06/24,1200,60,8/F/C/Y/U,Saibro,,,,,,Cadastrado,,,,-28.376388889,-55.0375
SWHP,MT0006,Olhos D'Água,ÁGUA BOA,Mato Grosso,Água Boa,Mato Grosso,"14°01'10.0S""","052°09'08.0W""",459,VFR,VFR,03/21,1627,18,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,19/09/2023,PA2013-2444,https://pergamum.anac.gov.br/arquivos/PA2013-2444.pdf,-14.019444444,-52.152222222
SWDN,TO0006,Dianópolis,DIANÓPOLIS,Tocantins,Dianópolis,Tocantins,"11°35'43.0S""","046°50'52.0W""",730,VFR,,10/28,1500,30,12/F/B/X/T,Asfalto,,,,,,Interditado,16/06/2026,PA2016-1485,https://pergamum.anac.gov.br/arquivos/PA2016-1485.pdf,-11.595277778,-46.847777778
SNJB,BA0062,Jacobina,JACOBINA,Bahia,Jacobina,Bahia,"11°09'47.0S""","040°33'12.0W""",489,VFR,,14/32,900,25,6/F/C/Y/U,Asfalto,,,,,,Cadastrado,03/08/2025,PA2015-2078,https://pergamum.anac.gov.br/arquivos/PA2015-2078.pdf,-11.163055556,-40.553333333
SSCL,MS0018,Cassilândia,CASSILÂNDIA,Mato Grosso do Sul,Cassilândia,Mato Grosso do Sul,"19°08'49.0S""","051°40'35.0W""",481,VFR,Sem Operação,13/31,1081,18,10/F/B/Y/T,Asfalto,,,,,,Cadastrado,24/04/2027,PA2017-1340,https://pergamum.anac.gov.br/arquivos/PA2017-1340.pdf,-19.146944444,-51.676388889
SNTO,MG0048,Juscelino Kubitscheck,TEÓFILO OTONI,Minas Gerais,Teófilo Otoni,Minas Gerais,"17°53'27.0S""","041°30'54.0W""",480,VFR,VFR,11/29,1190,23,10/F/B/Y/U,Asfalto,,,,,,Cadastrado,23/06/2030,PA2020-1559,https://pergamum.anac.gov.br/arquivos/PA2020-1559.pdf,-17.890833333,-41.515
SDBK,SP0019,Tancredo de Almeida Neves,BOTUCATU,São Paulo,Botucatu,São Paulo,"22°56'12.0S""","048°28'03.0W""",918,VFR,VFR,01/19,1500,30,40/F/A/X/T,Asfalto,,,,,,Cadastrado,22/11/2022,PA2012-2536,https://pergamum.anac.gov.br/arquivos/PA2012-2536.pdf,-22.936666667,-48.4675
SWVC,MT0016,Vila Rica,VILA RICA,Mato Grosso,Vila Rica,Mato Grosso,"09°58'52.0S""","051°08'26.0W""",254,VFR,Sem Operação,07/25,1350,30,4000 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,18/05/2030,PA2020-1286,https://pergamum.anac.gov.br/arquivos/PA2020-1286.pdf,-9.981111111,-51.140555556
SIBW,PB0008,Conceição,CONCEIÇÃO,Paraíba,Conceição,Paraíba,"07°33'45.0S""","038°29'51.0W""",370,VFR,Sem Operação,08/26,1000,27,8/F/C/Y/U,Asfalto,,,,,,Interditado,,PD2001-1493,https://pergamum.anac.gov.br/arquivos/PD2001-1493.pdf,-7.5625,-38.4975
SWMW,AM0020,Maués,MAUÉS,Amazonas,Maués,Amazonas,"03°21'25.0S""","057°42'44.0W""",21,VFR,Sem Operação,01/19,1200,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,09/09/2021,PA2011-1705,https://pergamum.anac.gov.br/arquivos/PA2011-1705.pdf,-3.356944444,-57.712222222
SDVG,SP0026,Domingos Pignatari,VOTUPORANGA,São Paulo,Votuporanga,São Paulo,"20°27'26.0S""","050°00'09.0W""",508,VFR,VFR,05/23,1500,30,26/F/B/X/T,Asfalto,,,,,,Cadastrado,,PD1971-0052,https://pergamum.anac.gov.br/arquivos/PD1971-0052.pdf,-20.457222222,-50.0025
SIZX,MT0018,Juara Sul,JUARA,Mato Grosso,Juara,Mato Grosso,"11°17'12.0S""","057°32'20.0W""",302,VFR,Sem Operação,11/29,1200,30,5700 Kg / 0.50 MPa,Cascalho,,,,,,Cadastrado,,PD2004-0791,https://pergamum.anac.gov.br/arquivos/PD2004-0791.pdf,-11.286666667,-57.538888889
SJXI,MG0311,Santa Rita do Sapucaí,SANTA RITA DO SAPUCAÍ,Minas Gerais,Santa Rita do Sapucaí,Minas Gerais,"22°16'22.0S""","045°38'24.0W""",882,VFR,Sem Operação,16/34,1000,30,5700 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,24/12/2029,PA2019-3886,https://pergamum.anac.gov.br/arquivos/PA2019-3886.pdf,-22.272777778,-45.64
SNPU,MG0073,Paraguaçu,PARAGUAÇU,Minas Gerais,Paraguaçu,Minas Gerais,"21°33'41.0S""","045°45'17.0W""",898,VFR,,07/25,900,30,8/F/C/Y/U,Terra,,,,,,Interditado,18/04/2027,PA2017-1296,https://pergamum.anac.gov.br/arquivos/PA2017-1296.pdf,-21.561388889,-45.754722222
SSAB,PR0024,Moisés Lupion,IBAITI,Paraná,Ibaiti,Paraná,"23°45'47.0S""","050°15'33.0W""",600,VFR,,05/23,1200,18,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,17/08/2027,PA2017-2711,https://pergamum.anac.gov.br/arquivos/PA2017-2711.pdf,-23.763055556,-50.259166667
SDVE,SP0070,Vera Cruz,VERA CRUZ,São Paulo,Vera Cruz,São Paulo,"22°13'49.0S""","049°49'01.0W""",640,VFR,Sem Operação,15/33,950,20,5600 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,17/04/2030,PA2020-1028,https://pergamum.anac.gov.br/arquivos/PA2020-1028.pdf,-22.230277778,-49.816944444
SNRZ,MG0049,Oliveira,OLIVEIRA,Minas Gerais,Oliveira,Minas Gerais,"20°42'52.0S""","044°51'55.0W""",1015,VFR,VFR,03/21,1180,18,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,16/09/2031,PA2020-2420,https://pergamum.anac.gov.br/arquivos/PA2020-2420.pdf,-20.714444444,-44.865277778
SDKJ,BA0025,Formosa do Rio Preto,FORMOSA DO RIO PRETO,Bahia,Formosa do Rio Preto,Bahia,"11°01'16.0S""","045°11'14.0W""",511,VFR,Sem Operação,13/31,1320,18.5,10/F/B/Y/U,Asfalto,,,,,,Cadastrado,29/10/2025,PA2015-2866,https://pergamum.anac.gov.br/arquivos/PA2015-2866.pdf,-11.021111111,-45.187222222
SSKZ,RS0009,Carazinho,CARAZINHO,Rio Grande do Sul,Carazinho,Rio Grande do Sul,"28°19'17.0S""","052°48'56.0W""",565,VFR,VFR,11/29,1560,30,12/F/B/Y/T,Asfalto,,,,,,Cadastrado,24/10/2028,PA2018-3261,https://pergamum.anac.gov.br/arquivos/PA2018-3261.pdf,-28.321388889,-52.815555556
SDTI,SP0073,Tupi Paulista,TUPI PAULISTA,São Paulo,Tupi Paulista,São Paulo,"21°23'35.0S""","051°35'56.0W""",365,VFR,Sem Operação,06/24,750,23,5700 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,04/08/2030,PA2020-1925,https://pergamum.anac.gov.br/arquivos/PA2020-1925.pdf,-21.393055556,-51.598888889
SSFL,PI0006,João Pereira dos Santos Filho,FRONTEIRAS,Piauí,Fronteiras,Piauí,"07°06'00.0S""","040°37'42.0W""",448,VFR,VFR,11/29,1500,25,7/F/A/Y/T,Asfalto,,,,,,Interditado,17/05/2029,PA2019-1470,https://pergamum.anac.gov.br/arquivos/PA2019-1470.pdf,-7.1,-40.628333333
SNJP,MG0036,João Pinheiro,JOÃO PINHEIRO,Minas Gerais,João Pinheiro,Minas Gerais,"17°47'15.0S""","046°07'12.0W""",911,VFR,Sem Operação,06/24,1300,23,5670 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,,PD2000-0057,https://pergamum.anac.gov.br/arquivos/PD2000-0057.pdf,-17.7875,-46.12
SSPS,PR0036,Dimorvan Carraro,PALMAS,Paraná,Palmas,Paraná,"26°28'20.0S""","051°58'32.0W""",1100,VFR,Sem Operação,03/21,1050,23,19/F/C/Y/U,Asfalto,,,,,,Cadastrado,13/04/2030,PA2020-0983,https://pergamum.anac.gov.br/arquivos/PA2020-0983.pdf,-26.472222222,-51.975555556
SNJN,MG0039,Januária,JANUÁRIA,Minas Gerais,Januária,Minas Gerais,"15°28'29.0S""","044°23'11.0W""",480,VFR,Sem Operação,08/26,1200,30,10/F/B/Y/U,Asfalto,,,,,,Cadastrado,,PD1982-0206,https://pergamum.anac.gov.br/arquivos/PD1982-0206.pdf,-15.474722222,-44.386388889
SDBA,SP0063,Batatais,BATATAIS,São Paulo,Batatais,São Paulo,"20°52'37.0S""","047°35'09.0W""",881,VFR,Sem Operação,13/31,720,30,5700 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,20/04/2028,PA2018-1240,https://pergamum.anac.gov.br/arquivos/PA2018-1240.pdf,-20.876944444,-47.585833333
SNTR,BA0036,Piritiba,PIRITIBA,Bahia,Piritiba,Bahia,"11°44'17.0S""","040°34'11.0W""",585,VFR,,10/28,1227,25,8/F/B/Y/U,Asfalto,,,,,,Cadastrado,17/12/2025,PA2015-3336,https://pergamum.anac.gov.br/arquivos/PA2015-3336.pdf,-11.738055556,-40.569722222
SSOI,SP0043,Pederneiras,PEDERNEIRAS,São Paulo,Pederneiras,São Paulo,"22°18'23.0S""","048°46'26.0W""",536,VFR,Sem Operação,15/33,1165,25,5600 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,04/06/2024,PA2014-1259,https://pergamum.anac.gov.br/arquivos/PA2014-1259.pdf,-22.306388889,-48.773888889
SNAG,MG0020,Araguari,ARAGUARI,Minas Gerais,Araguari,Minas Gerais,"18°40'05.0S""","048°11'25.0W""",947,VFR,Sem Operação,05/23,1500,30,14/F/A/Y/T,Asfalto,,,,,,Interditado,,,,-18.668055556,-48.190277778
SNBC,MA0006,Barra do Corda,BARRA DO CORDA,Maranhão,Barra do Corda,Maranhão,"05°30'09.0S""","045°12'57.0W""",155,VFR,Sem Operação,08/26,1560,30,13/F/B/Y/U,Terra,,,,,,Cadastrado,,PD1971-0108,https://pergamum.anac.gov.br/arquivos/PD1971-0108.pdf,-5.5025,-45.215833333
SBPV,RO0001,Governador Jorge Teixeira de Oliveira,PORTO VELHO,Rondônia,Porto Velho,Rondônia,"08°42'49.0S""","063°54'10.0W""",88,,,18/36,2400,45,41/F/B/X/T,Asfalto,,,,,,Cadastrado,,PD1985-0091,https://pergamum.anac.gov.br/arquivos/PD1985-0091.pdf,-8.713611111,-63.902777778
SSCR,PR0016,Ruben Berta,MARECHAL CÂNDIDO RONDON,Paraná,Marechal Cândido Rondon,Paraná,"24°30'46.0S""","054°03'14.0W""",525,VFR,Sem Operação,01/19,1400,30,10/F/C/Y/U,Asfalto,,,,,,Cadastrado,02/08/2028,PA2018-2358,https://pergamum.anac.gov.br/arquivos/PA2018-2358.pdf,-24.512777778,-54.053888889
SDPY,SP0066,Pirassununga,PIRASSUNUNGA,São Paulo,Pirassununga,São Paulo,"22°01'40.0S""","047°25'18.0W""",683,VFR,Sem Operação,02/20,860,30,8/F/C/Y/U,Terra,,,,,,Cadastrado,23/06/2030,PA2020-1565,https://pergamum.anac.gov.br/arquivos/PA2020-1565.pdf,-22.027777778,-47.421666667
SDJC,SP0064,Jaboticabal,JABOTICABAL,São Paulo,Jaboticabal,São Paulo,"21°13'51.0S""","048°17'08.0W""",625,VFR,Sem Operação,07/25,960,23,5600 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,13/06/2028,PA2018-1754,https://pergamum.anac.gov.br/arquivos/PA2018-1754.pdf,-21.230833333,-48.285555556
SDUN,RJ0008,Itaperuna,ITAPERUNA,Rio de Janeiro,Itaperuna,Rio de Janeiro,"21°13'10.0S""","041°52'32.0W""",125,VFR,Sem Operação,06/24,1200,30,8/F/C/Y/U,Grama,,,,,,Cadastrado,,PD1998-0052,https://pergamum.anac.gov.br/arquivos/PD1998-0052.pdf,-21.219444444,-41.875555556
SNQU,BA0032,Mucugê,MUCUGÊ,Bahia,Mucugê,Bahia,"13°01'54.0S""","041°26'40.0W""",1056,VFR,,07/25,1300,19,6/F/C/Z/U,Asfalto,,,,,,Interditado,17/12/2025,PA2015-3333,https://pergamum.anac.gov.br/arquivos/PA2015-3333.pdf,-13.031666667,-41.444444444
